player,year_min,height,weight
Kurk Lee,1991,6-3,200
Malcolm Lee,2012,6-5,220
Rock Lee,1982,6-10,193
Ron Lee,1977,6-4,185
Russ Lee,1973,6-5,185
Ed Leede,1950,6-3,190
Hank Lefkowitz,1947,6-2,200
Tim Legler,1990,6-4,180
George Lehmann,1968,6-0,180
Walt Lemon,2018,6-3,250
Alex Len,2014,7-1,205
Voshon Lenard,1996,6-4,200
Leary Lentz,1968,6-6,250
Gary Leonard,1990,7-1,230
Kawhi Leonard,2012,6-7,255
Meyers Leonard,2013,7-1,185
Slick Leonard,1957,6-3,165
Jim Les,1989,5-11,205
Travis Leslie,2012,6-4,175
Ronnie Lester,1981,6-2,170
Clifford Lett,1990,6-3,228
Jon Leuer,2012,6-10,190
Andrew Levane,1949,6-2,170
Fat Lever,1983,6-3,204
Caris LeVert,2017,6-7,210
Cliff Levingston,1983,6-8,175
Bobby Lewis,1968,6-3,235
Cedric Lewis,1996,6-10,195
Freddie Lewis,1949,6-2,175
Freddie Lewis,1967,6-0,215
Grady Lewis,1947,6-7,210
Martin Lewis,1996,6-5,225
Mike Lewis,1969,6-8,215
Quincy Lewis,2000,6-7,200
Ralph Lewis,1988,6-6,215
Rashard Lewis,1999,6-10,195
Reggie Lewis,1988,6-7,205
Marcus Liberty,1991,6-8,205
Todd Lichti,1990,6-4,180
Barry Liebowitz,1968,6-2,209
DeAndre Liggins,2012,6-6,180
Bill Ligon,1975,6-4,210
Goose Ligon,1968,6-7,195
Damian Lillard,2013,6-3,200
Jeremy Lin,2011,6-3,225
Steve Lingenfelter,1983,6-9,240
Alton Lister,1982,7-0,180
Samuel Little,1970,6-0,160
Gene Littles,1970,6-0,209
Randy Livingston,1997,6-4,192
Shaun Livingston,2005,6-7,220
Ron Livingstone,1950,6-10,285
Horacio Llamas Grey,1997,6-11,184
Bobby Lloyd,1968,6-2,220
Chuck Lloyd,1971,6-8,200
Earl Lloyd,1951,6-5,205
Lewis Lloyd,1982,6-6,230
Scott Lloyd,1977,6-10,215
Riney Lochmann,1968,6-6,185
Bob Lochmueller,1953,6-5,225
Rob Lock,1989,6-9,245
Darrell Lockhart,1984,6-9,240
Ian Lockhart,1991,6-8,205
Kevin Loder,1982,6-6,200
Don Lofgran,1951,6-5,180
Zach Lofton,2019,6-4,180
Henry Logan,1969,6-0,175
John Logan,1947,6-2,230
Brad Lohaus,1988,6-11,250
Art Long,2001,6-9,225
Grant Long,1989,6-8,195
John Long,1979,6-5,180
Paul Long,1968,6-2,255
Shawn Long,2017,6-9,225
Willie Long,1972,6-8,265
Luc Longley,1992,7-2,220
Kevon Looney,2016,6-9,270
Brook Lopez,2009,7-0,199
Felipe Lopez,1999,6-5,170
Raul Lopez,2004,6-1,275
Robin Lopez,2009,7-0,190
Ryan Lorthridge,1995,6-4,220
Jim Loscutoff,1956,6-5,210
Plummer Lott,1968,6-5,190
Kevin Loughery,1963,6-3,215
Bob Love,1967,6-8,251
Kevin Love,2009,6-10,215
Stan Love,1972,6-9,234
Clyde Lovellette,1954,6-9,195
Sidney Lowe,1984,6-0,185
Charlie Lowery,1972,6-3,196
Kyle Lowry,2007,6-1,210
Jordan Loyd,2019,6-4,195
Al Lucas,1949,6-3,230
Jerry Lucas,1964,6-8,175
John Lucas,1977,6-3,195
Kalin Lucas,2015,6-1,215
Maurice Lucas,1975,6-9,166
John Lucas III,2006,5-11,205
Ted Luckenbill,1962,6-6,175
Tyronn Lue,1999,6-0,180
Jim Luisi,1954,6-2,220
Al Lujack,1947,6-3,165
Phil Lumpkin,1975,6-0,178
Ray Lumpp,1949,6-1,210
Timothe Luwawu-Cabarrot,2017,6-6,225
Tyler Lydon,2018,6-10,234
Trey Lyles,2016,6-10,190
R.B. Lynam,1968,6-1,218
George Lynch,1994,6-8,195
Kevin Lynch,1992,6-5,215
Lonnie Lynn,1970,6-7,215
Sheldon Mac,2017,6-5,200
Mike Macaluso,1974,6-5,210
Ed Macauley,1950,6-8,185
Todd MacCulloch,2000,7-0,280
Ronnie MacGilvray,1955,6-2,185
Scott Machado,2013,6-1,205
Arvydas Macijauskas,2006,6-4,214
Ollie Mack,1980,6-3,185
Sam Mack,1993,6-7,220
Shelvin Mack,2012,6-3,203
Malcolm Mackey,1994,6-9,248
Rudy Macklin,1982,6-7,205
Vernon Macklin,2012,6-10,227
Johnny Macknowski,1950,6-0,180
Don MacLean,1993,6-10,235
Daryl Macon,2019,6-3,185
Mark Macon,1992,6-5,185
J.P. Macura,2019,6-5,205
Kyle Macy,1981,6-3,175
Jack Maddox,1949,6-3,185
Tito Maddox,2003,6-4,190
Gerald Madkins,1994,6-4,200
Mark Madsen,2001,6-9,240
Norm Mager,1951,6-5,185
Josh Magette,2018,6-1,160
Corey Maggette,2000,6-6,218
Dave Magley,1983,6-8,202
Jamaal Magloire,2001,6-11,259
Randolph Mahaffey,1968,6-7,210
Ian Mahinmi,2008,6-11,262
John Mahnken,1947,6-8,220
Brian Mahoney,1973,6-3,175
Mo Mahoney,1953,6-2,205
Rick Mahorn,1981,6-10,240
Dan Majerle,1989,6-6,215
Renaldo Major,2007,6-7,200
Thon Maker,2017,7-1,221
Lionel Malamed,1949,5-9,150
Jeff Malone,1984,6-4,205
Karl Malone,1986,6-9,250
Moses Malone,1975,6-10,215
Matt Maloney,1997,6-3,192
Steve Malovic,1980,6-10,230
Mike Maloy,1971,6-7,215
Ted Manakas,1974,6-2,180
John Mandic,1949,6-4,205
Frank Mangiapane,1947,5-10,195
Danny Manning,1989,6-10,230
Ed Manning,1968,6-7,210
Guy Manning,1968,6-6,195
Rich Manning,1996,6-11,253
Pace Mannion,1984,6-7,190
Nick Mantis,1960,6-3,190
Pete Maravich,1971,6-5,197
Press Maravich,1947,6-0,185
Devyn Marble,2015,6-6,200
Roy Marble,1990,6-6,190
Stephon Marbury,1997,6-2,180
Sarunas Marciulionis,1990,6-5,200
Saul Mariaschin,1948,5-11,165
Jack Marin,1967,6-7,200
Shawn Marion,2000,6-7,220
Boban Marjanovic,2016,7-3,290
Lauri Markkanen,2018,7-0,240
Damir Markota,2007,6-10,225
Sean Marks,1999,6-10,250
Harvey Marlatt,1971,6-3,185
Jim Marsh,1972,6-7,215
Ricky Marsh,1978,6-3,200
Donny Marshall,1996,6-7,230
Donyell Marshall,1995,6-9,218
Kendall Marshall,2013,6-4,200
Rawle Marshall,2006,6-9,190
Tom Marshall,1955,6-4,215
Vester Marshall,1974,6-7,200
Bill Martin,1986,6-7,205
Bob Martin,1994,7-0,250
Brian Martin,1986,6-9,212
Cartier Martin,2009,6-7,220
Cuonzo Martin,1996,6-5,213
Darrick Martin,1995,5-11,170
Dino Martin,1947,5-8,160
Don Martin,1947,6-7,210
Fernando Martin,1987,6-9,220
Jarell Martin,2016,6-10,239
Jeff Martin,1990,6-5,195
Kenyon Martin,2001,6-9,234
Kevin Martin,2005,6-7,199
LaRue Martin,1973,6-11,208
Maurice Martin,1987,6-6,200
Phil Martin,1955,6-3,190
Slater Martin,1950,5-10,170
Whitey Martin,1962,6-2,185
Jamal Mashburn,1994,6-8,240
Al Masino,1953,5-10,174
Anthony Mason,1990,6-7,250
Desmond Mason,2001,6-7,224
Frank Mason,2018,5-11,190
Roger Mason,2003,6-5,200
Tony Massenburg,1991,6-9,220
Eddie Mast,1971,6-9,220
Mangok Mathiang,2018,6-10,230
Johnny Mathis,1968,6-6,220
Wes Matthews,1981,6-1,170
Wesley Matthews,2010,6-5,220
Ariel Maughan,1947,6-4,190
Marlon Maxey,1993,6-8,250
Jason Maxiell,2006,6-7,260
Cedric Maxwell,1978,6-8,205
Vernon Maxwell,1989,6-4,180
Don May,1969,6-4,200
Scott May,1977,6-7,215
Sean May,2006,6-9,266
Lee Mayberry,1993,6-1,172
Clyde Mayes,1976,6-8,225
Tharon Mayes,1992,6-3,175
Bill Mayfield,1981,6-7,205
Ken Mayfield,1976,6-2,185
Eric Maynor,2010,6-3,175
O.J. Mayo,2009,6-5,210
Travis Mays,1991,6-2,190
Matt Mazza,1950,6-3,210
Luc Mbah a Moute,2009,6-8,230
Bob McAdoo,1973,6-9,210
James Michael McAdoo,2015,6-9,230
Ken McBride,1955,6-3,190
Ray McCallum,2014,6-3,190
Bob McCann,1990,6-6,244
Brendan McCann,1958,6-2,178
Mel McCants,1990,6-8,240
Rashad McCants,2006,6-4,207
Mike McCarron,1947,5-11,180
Andre McCarter,1977,6-3,190
Willie McCarter,1970,6-3,175
Johnny McCarthy,1957,6-1,185
Howie McCarty,1947,6-2,190
Kelly McCarty,1999,6-7,200
Walter McCarty,1997,6-10,230
Amal McCaskill,1997,6-11,235
Patrick McCaw,2017,6-7,185
Dwayne McClain,1986,6-6,185
Ted McClain,1972,6-1,180
Dan McClintock,2001,7-0,270
Jack McCloskey,1953,6-2,190
George McCloud,1990,6-6,205
CJ McCollum,2014,6-3,190
John McConathy,1952,6-5,195
Bucky McConnell,1953,5-10,170
T.J. McConnell,2016,6-2,190
Keith McCord,1981,6-7,210
Tim McCormick,1985,6-11,240
Jelani McCoy,1999,6-10,245
Paul McCracken,1973,6-4,180
Chris McCray,2007,6-5,192
Rodney McCray,1984,6-7,220
Scooter McCray,1984,6-9,215
Erik McCree,2018,6-8,225
Chris McCullough,2016,6-11,200
John McCullough,1982,6-4,190
Clint McDaniel,1996,6-4,180
Xavier McDaniel,1986,6-7,205
Jim McDaniels,1972,6-11,228
K.J. McDaniels,2015,6-6,205
Doug McDermott,2015,6-8,225
Ben McDonald,1986,6-8,210
Glenn McDonald,1975,6-6,190
Michael McDonald,1998,6-10,232
Roderick McDonald,1971,6-6,205
Hank McDowell,1982,6-9,215
Antonio McDyess,1996,6-9,220
Jim McElroy,1976,6-3,190
Patrick McFarland,1974,6-5,185
Ivan McFarlin,2007,6-8,240
Mel McGaha,1949,6-1,190
Mitch McGary,2015,6-10,255
JaVale McGee,2009,7-0,270
Mike McGee,1982,6-5,190
Bill McGill,1963,6-9,225
George McGinnis,1972,6-8,235
Jon McGlocklin,1966,6-5,205
Tracy McGrady,1998,6-8,210
Gil McGregor,1972,6-8,240
Elton McGriff,1968,6-9,225
Rodney McGruder,2017,6-4,200
Alfred McGuire,1952,6-2,180
Allie McGuire,1974,6-3,175
Dick McGuire,1950,6-0,180
Dominic McGuire,2008,6-9,220
Kevin McHale,1981,6-10,210
Maurice McHartley,1968,6-3,185
Jim McIlvaine,1995,7-1,240
Jeff McInnis,1997,6-4,190
Kenny McIntosh,1972,6-7,225
Bob McIntyre,1968,6-6,215
Jerry McKee,1970,6-3,190
Kevin McKenna,1982,6-5,195
Forrest McKenzie,1987,6-7,200
Stan McKenzie,1968,6-5,195
Derrick McKey,1988,6-9,205
Aaron McKie,1995,6-5,209
Billy McKinney,1979,6-0,160
Bones McKinney,1947,6-6,185
Carlton McKinney,1990,6-4,190
Trey McKinney-Jones,2018,6-5,214
Alfonzo McKinnie,2018,6-8,215
Ben McLemore,2014,6-5,201
McCoy McLemore,1965,6-7,230
George McLeod,1953,6-5,200
Keith McLeod,2004,6-2,188
Roshown McLeod,1999,6-8,221
Jack McMahon,1953,6-1,185
Nate McMillan,1987,6-5,195
Tom McMillen,1976,6-11,215
Jim McMillian,1971,6-5,215
Shellie McMillon,1959,6-5,205
Mal McMullen,1950,6-5,210
Chet McNabb,1948,6-2,200
Mark McNamara,1983,6-11,235
Joe McNamee,1951,6-6,210
Jerel McNeal,2015,6-3,200
Chris McNealy,1986,6-7,210
Bob McNeill,1961,6-1,170
Larry McNeill,1974,6-9,195
Carl McNulty,1955,6-3,185
Paul McPherson,2001,6-4,210
Roy McPipe,1975,6-3,205
Cozell McQueen,1987,6-11,235
Jordan McRae,2016,6-5,179
Thales McReynolds,1966,6-3,185
Josh McRoberts,2008,6-10,240
Eric McWilliams,1973,6-8,200
George Mearns,1947,6-3,175
Stanislav Medvedenko,2001,6-10,250
Darnell Mee,1994,6-5,175
Jodie Meeks,2010,6-4,210
Cliff Meely,1972,6-8,215
Scott Meents,1990,6-10,225
Dick Mehen,1950,6-5,195
Monk Meineke,1953,6-7,208
Carl Meinhold,1948,6-2,185
Salah Mejri,2016,7-2,235
Gal Mekel,2014,6-3,191
Bill Melchionni,1967,6-1,165
Gary Melchionni,1974,6-2,185
Fab Melo,2013,7-0,255
De'Anthony Melton,2019,6-4,200
Ed Melvin,1947,5-9,170
Dean Meminger,1972,6-0,175
Chuck Mencel,1956,6-0,168
John Mengelt,1972,6-2,195
Ken Menke,1950,6-0,168
Pops Mensah-Bonsu,2007,6-9,240
Dewitt Menyard,1968,6-10,210
Ron Mercer,1998,6-7,210
Joe Meriweather,1976,6-10,215
Porter Meriwether,1963,6-2,180
Tom Meschery,1962,6-6,215
Chimezie Metu,2019,6-10,225
Bill Meyer,1968,6-3,195
Loren Meyer,1996,6-10,257
Dave Meyers,1976,6-8,215
Stan Miasek,1947,6-5,210
Larry Micheaux,1984,6-9,220
Jordan Mickey,2016,6-8,235
Khris Middleton,2013,6-8,222
Red Mihalik,1947,6-0,180
Chris Mihm,2001,7-0,265
Ed Mikan,1949,6-8,230
George Mikan,1949,6-10,245
Larry Mikan,1971,6-7,210
Vern Mikkelsen,1950,6-7,230
Al Miksis,1950,6-7,210
Aaron Miles,2006,6-1,175
C.J. Miles,2006,6-6,220
Darius Miles,2001,6-9,210
Eddie Miles,1964,6-4,195
Marko Milic,1998,6-6,235
Darko Milicic,2004,7-0,250
Nat Militzok,1947,6-3,195
Andre Miller,2000,6-3,200
Anthony Miller,1995,6-9,225
Bill Miller,1949,6-3,190
Bob Miller,1984,6-10,230
Brad Miller,1999,6-11,244
Darius Miller,2013,6-8,225
Dick Miller,1981,6-6,215
Eddie Miller,1953,6-8,225
Harry Miller,1947,6-4,230
Jay Miller,1968,6-5,205
Larry Miller,1969,6-4,190
Malcolm Miller,2018,6-7,210
Mike Miller,2001,6-8,218
Oliver Miller,1993,6-9,280
Quincy Miller,2013,6-9,210
Reggie Miller,1988,6-7,185
Walt Miller,1947,6-2,190
Chris Mills,1994,6-6,215
John Mills,1947,6-8,203
Patty Mills,2010,6-0,180
Terry Mills,1991,6-10,230
Elijah Millsap,2015,6-6,225
Paul Millsap,2007,6-8,246
Shake Milton,2019,6-6,207
Harold Miner,1993,6-5,210
Yao Ming,2003,7-6,310
Dirk Minniefield,1986,6-3,180
Dave Minor,1952,6-2,185
Greg Minor,1995,6-6,210
Mark Minor,1973,6-6,215
Nikola Mirotic,2015,6-10,250
Wat Misaka,1948,5-7,150
Jason Miskiri,2000,6-2,175
Donovan Mitchell,2018,6-3,215
Leland Mitchell,1968,6-4,210
Mike Mitchell,1979,6-7,215
Murray Mitchell,1950,6-6,210
Sam Mitchell,1990,6-6,205
Todd Mitchell,1989,6-7,216
Tony Mitchell,2014,6-6,235
Tony Mitchell,2014,6-8,218
Naz Mitrou-Long,2018,6-4,215
Steve Mix,1970,6-7,190
Bill Mlkvy,1953,6-4,190
Cuttino Mobley,1999,6-4,235
Eric Mobley,1995,6-11,215
Doug Moe,1968,6-5,210
Larry Moffett,1978,6-8,190
Leo Mogus,1947,6-4,221
Nazr Mohammed,1999,6-10,235
Jerome Moiso,2001,6-10,250
Paul Mokeski,1980,7-0,200
Jack Molinas,1954,6-6,230
Wayne Molis,1967,6-8,180
Sidney Moncrief,1980,6-3,170
Eric Money,1975,6-0,220
Sergei Monia,2006,6-8,200
Malik Monk,2018,6-3,185
Earl Monroe,1968,6-3,265
Greg Monroe,2011,6-11,185
Rodney Monroe,1992,6-3,185
Luis Montero,2016,6-7,220
Howie Montgomery,1963,6-5,270
Eric Montross,1995,7-0,205
Jamario Moon,2008,6-8,215
Jim Mooney,1953,6-5,215
Andre Moore,1988,6-9,220
Ben Moore,2018,6-8,191
E'Twaun Moore,2012,6-4,225
Gene Moore,1969,6-9,180
Jackie Moore,1955,6-5,175
Johnny Moore,1981,6-1,215
Larry Moore,1968,6-7,170
Lowes Moore,1981,6-1,225
Mikki Moore,1999,6-11,205
Otto Moore,1969,6-11,190
Richard Moore,1968,6-2,260
Ron Moore,1988,7-0,200
Tracy Moore,1992,6-4,238
Eric Moreland,2015,6-10,215
Jackie Moreland,1961,6-7,205
Guy Morgan,1983,6-8,190
Rex Morgan,1971,6-5,230
Elmore Morgenthaler,1947,6-9,235
Darren Morningstar,1994,6-10,210
Chris Morris,1989,6-8,190
Darius Morris,2012,6-4,229
Isaiah Morris,1993,6-8,185
Jaylen Morris,2018,6-5,235
Marcus Morris,2012,6-9,245
Markieff Morris,2012,6-10,195
Max Morris,1950,6-2,175
Monte Morris,2018,6-3,266
Randolph Morris,2007,6-10,221
Terence Morris,2002,6-9,205
Adam Morrison,2007,6-8,190
John Morrison,1968,6-2,195
Mike Morrison,1990,6-4,220
Red Morrison,1955,6-8,210
Anthony Morrow,2009,6-5,195
Dwayne Morton,1995,6-7,180
John Morton,1990,6-3,190
Richard Morton,1989,6-3,195
Glenn Mosley,1978,6-8,185
Perry Moss,1986,6-2,185
Lawrence Moten,1996,6-5,222
Donatas Motiejunas,2013,7-0,230
Johnathan Motley,2018,6-10,247
Hanno Mottola,2001,6-11,249
Arnett Moultrie,2013,6-11,175
Rick Mount,1971,6-3,240
Alonzo Mourning,1993,6-10,275
Timofey Mozgov,2011,7-1,185
Chuck Mrazovich,1951,6-5,200
Emmanuel Mudiay,2016,6-5,230
Erwin Mueller,1967,6-8,223
Shabazz Muhammad,2014,6-6,165
Joe Mullaney,1950,6-0,175
Bob Mullens,1947,6-1,275
Byron Mullens,2010,7-0,200
Chris Mullin,1986,6-6,190
Jeff Mullins,1965,6-4,250
Todd Mundt,1996,7-0,180
Xavier Munford,2016,6-2,225
Chris Munk,1991,6-9,170
George Munroe,1947,5-11,190
Eric Murdock,1992,6-1,303
Gheorghe Muresan,1994,7-7,190
Allen Murphy,1976,6-5,165
Calvin Murphy,1971,5-9,175
Dick Murphy,1947,6-1,230
Erik Murphy,2014,6-10,220
Jay Murphy,1985,6-9,175
John Murphy,1947,6-2,185
Kevin Murphy,2013,6-5,225
Ronnie Murphy,1988,6-5,220
Tod Murphy,1988,6-9,245
Troy Murphy,2002,6-11,170
Dejounte Murray,2017,6-5,207
Jamal Murray,2017,6-4,190
Ken Murray,1951,6-2,236
Lamond Murray,1995,6-7,190
Ronald Murray,2003,6-4,225
Tracy Murray,1993,6-7,225
Willie Murrell,1968,6-6,215
Dorie Murrey,1967,6-8,195
Toure' Murry,2014,6-5,208
Dzanan Musa,2019,6-9,240
Mike Muscala,2014,6-11,145
Angelo Musi,1947,5-9,238
Jerrod Mustaf,1991,6-10,245
Dikembe Mutombo,1992,7-2,235
Martin Muursepp,1997,6-9,180
Pete Myers,1987,6-6,205
Hamady N'Diaye,2011,7-0,235
Makhtar N'Diaye,1999,6-8,245
Mamadou N'Diaye,2001,7-0,255
Boniface N'Dong,2006,7-0,198
Bob Naber,1953,6-3,185
Boris Nachamkin,1955,6-6,210
Bostjan Nachbar,2003,6-9,221
Abdel Nader,2018,6-6,225
Jerry Nagel,1950,6-0,190
Fritz Nagy,1949,6-2,185
Lee Nailon,2001,6-9,238
Eduardo Najera,2001,6-8,240
Larry Nance,1982,6-10,205
Larry Nance,2016,6-9,230
Shabazz Napier,2015,6-1,180
Paul Napolitano,1949,6-2,185
Bob Nash,1973,6-8,195
Cotton Nash,1965,6-5,215
Steve Nash,1997,6-3,195
Swen Nater,1974,6-11,240
Howard Nathan,1996,5-11,175
Calvin Natt,1980,6-6,220
Kenny Natt,1981,6-3,185
Willie Naulls,1957,6-6,225
Juan Carlos Navarro,2008,6-3,170
Maurice Ndour,2017,6-9,200
Craig Neal,1989,6-5,165
Gary Neal,2011,6-4,210
Jim Neal,1954,6-11,235
Lloyd Neal,1973,6-7,225
Ed Nealy,1983,6-7,238
Nemanja Nedovic,2014,6-3,192
Al Negratti,1947,6-3,200
Barry Nelson,1972,6-10,230
DeMarcus Nelson,2009,6-4,200
Don Nelson,1963,6-6,210
Jameer Nelson,2005,6-0,190
Louie Nelson,1974,6-3,190
Ron Nelson,1971,6-2,175
Ruben Nembhard,1997,6-3,208
Dick Nemelka,1971,6-0,175
Tyrone Nesby,1999,6-6,225
Martin Nessley,1988,7-2,260
Rasho Nesterovic,1999,7-0,248
Raul Neto,2016,6-1,179
Bob Netolicky,1968,6-9,220
Johnny Neumann,1972,6-6,200
Paul Neumann,1962,6-1,175
Chuck Nevitt,1983,7-5,217
Melvin Newbern,1993,6-4,200
Ivano Newbill,1995,6-9,245
Ira Newble,2001,6-7,220
Mike Newlin,1972,6-4,200
Johnny Newman,1987,6-7,190
Dave Newmark,1969,7-0,240
Bill Newton,1973,6-9,220
Georges Niang,2017,6-8,230
Demetris Nichols,2008,6-8,216
Jack Nichols,1949,6-7,222
Andrew Nicholson,2013,6-9,250
Gaylon Nickerson,1997,6-3,190
Carl Nicks,1981,6-1,175
Rich Niemann,1969,7-0,245
Richie Niemiera,1949,6-1,165
Mike Niles,1981,6-6,225
Kurt Nimphius,1982,6-10,218
Dyron Nix,1990,6-7,210
Norm Nixon,1978,6-2,170
Joakim Noah,2008,6-11,230
Chuck Noble,1956,6-4,190
Andres Nocioni,2005,6-7,225
David Noel,2007,6-6,230
Nerlens Noel,2015,6-11,220
Paul Noel,1948,6-4,185
Lucas Nogueira,2015,7-0,241
Jim Nolan,1950,6-8,210
Paul Nolen,1954,6-10,225
Jeff Nordgaard,1998,6-7,225
Bevo Nordmann,1962,6-10,180
Johnny Norlander,1947,6-3,175
Connie Norman,1975,6-3,215
Ken Norman,1988,6-8,230
Audie Norris,1983,6-9,175
Moochie Norris,1997,6-1,220
Sylvester Norris,1980,6-11,220
Willie Norwood,1972,6-7,195
George Nostrand,1947,6-8,185
Stan Noszka,1947,6-1,219
Mike Novak,1949,6-9,225
Steve Novak,2007,6-10,170
Mel Nowell,1963,6-2,245
Dirk Nowitzki,1999,7-0,200
Frank Ntilikina,2018,6-6,208
James Nunnally,2014,6-7,275
Jusuf Nurkic,2015,7-0,170
Dennis Nutt,1987,6-2,219
David Nwaba,2017,6-4,255
Charles O'Bannon,1998,6-5,209
Ed O'Bannon,1996,6-8,222
John O'Boyle,1953,6-2,185
Bob O'Brien,1948,6-4,190
J.J. O'Brien,2016,6-7,228
Jim O'Brien,1974,6-7,200
Jimmy O'Brien,1972,6-1,170
Ralph O'Brien,1952,5-9,160
Johnny O'Bryant,2015,6-9,257
Patrick O'Bryant,2007,7-0,260
Dermie O'Connell,1949,6-0,174
Andy O'Donnell,1950,6-1,180
Buddy O'Grady,1947,5-11,160
Fran O'Hanlon,1971,6-1,175
Dick O'Keefe,1948,6-2,185
Tommy O'Keefe,1951,6-2,185
Mike O'Koren,1981,6-7,207
Grady O'Malley,1970,6-5,205
Jermaine O'Neal,1997,6-11,226
Shaquille O'Neal,1993,7-1,325
Royce O'Neale,2018,6-6,226
Mike O'Neill,1953,6-3,210
Kyle O'Quinn,2013,6-10,250
Kevin O'Shea,1951,6-2,175
Garland O'Shields,1947,6-1,195
Dan O'Sullivan,1991,6-10,250
Charles Oakley,1986,6-8,225
Fabricio Oberto,2006,6-10,245
Daniel Ochefu,2017,6-11,245
Greg Oden,2009,7-0,250
Lamar Odom,2000,6-10,220
Bud Ogden,1970,6-6,215
Ralph Ogden,1971,6-5,205
Alan Ogg,1991,7-2,240
Don Ohl,1961,6-3,190
Tim Ohlbrecht,2013,6-11,255
Semi Ojeleye,2018,6-7,241
Emeka Okafor,2005,6-10,252
Jahlil Okafor,2016,6-11,275
Elie Okobo,2019,6-3,190
Josh Okogie,2019,6-4,212
Mehmet Okur,2003,6-11,249
Victor Oladipo,2014,6-4,210
Hakeem Olajuwon,1985,7-0,255
Mark Olberding,1976,6-8,225
Jawann Oldham,1981,7-0,215
John Oldham,1950,6-3,175
Frank Oleynick,1976,6-2,185
John Olive,1979,6-7,210
Brian Oliver,1991,6-4,210
Dean Oliver,2002,5-11,180
Jimmy Oliver,1992,6-5,205
Kevin Ollie,1998,6-4,195
Gene Ollrich,1950,5-11,160
Michael Olowokandi,1999,7-0,269
Bud Olsen,1963,6-8,220
Kelly Olynyk,2014,7-0,240
Arinze Onuaku,2014,6-9,255
Chinanu Onuaku,2017,6-10,245
Barry Orms,1969,6-3,190
Johnny Orr,1950,6-3,195
Louis Orr,1981,6-8,175
Jose Ortiz,1989,6-10,225
Daniel Orton,2012,6-10,255
Chuck Osborne,1962,6-6,210
Cedi Osman,2018,6-8,215
Wally Osterkorn,1952,6-5,215
Greg Ostertag,1996,7-2,280
Matt Othick,1993,6-2,165
Don Otten,1950,6-10,240
Mac Otten,1950,6-7,220
Kelly Oubre,2016,6-7,205
Bo Outlaw,1994,6-8,210
Travis Outlaw,2004,6-9,210
Claude Overton,1953,6-2,195
Doug Overton,1993,6-3,190
Andre Owens,2006,6-4,200
Billy Owens,1992,6-8,220
Chris Owens,2003,6-7,245
Eddie Owens,1978,6-7,210
Jim Owens,1974,6-5,200
Keith Owens,1992,6-7,225
Larry Owens,2011,6-7,210
Red Owens,1950,6-3,185
Tom Owens,1972,6-10,215
Ray Owes,1997,6-9,224
Olumide Oyedeji,2001,6-10,240
Joe Pace,1977,6-10,220
Zaza Pachulia,2004,6-11,270
Robert Pack,1992,6-2,180
Wayne Pack,1975,6-0,165
Gerald Paddio,1991,6-7,205
Scott Padgett,2000,6-9,240
Dana Pagett,1972,6-2,180
Marcus Paige,2018,6-1,175
Fred Paine,1949,6-5,210
Milt Palacio,2000,6-3,195
Togo Palazzi,1955,6-4,205
Bud Palmer,1947,6-4,180
Errol Palmer,1968,6-5,195
Jim Palmer,1959,6-8,224
Walter Palmer,1991,7-1,215
Andy Panko,2001,6-9,222
Georgios Papagiannis,2017,7-1,240
Kostas Papanikolaou,2015,6-8,225
Jannero Pargo,2003,6-1,175
Jeremy Pargo,2012,6-2,219
Easy Parham,1949,6-3,200
Robert Parish,1977,7-0,230
Med Park,1956,6-2,205
Anthony Parker,1998,6-6,215
Jabari Parker,2015,6-8,245
Smush Parker,2003,6-4,190
Sonny Parker,1977,6-6,200
Tony Parker,2002,6-2,185
Barry Parkhill,1974,6-4,185
Jack Parkinson,1950,6-0,174
Charles Parks,1969,6-5,210
Cherokee Parks,1996,6-11,235
Richard Parks,1968,6-7,235
Jack Parr,1959,6-9,220
Doyle Parrack,1947,6-0,165
Charlie Parsley,1950,6-2,175
Chandler Parsons,2012,6-10,230
Zarko Paspalj,1990,6-9,215
Marty Passaglia,1947,6-1,170
George Pastushok,1947,6-1,195
Myles Patrick,1981,6-8,220
Stan Patrick,1950,6-2,185
Andrae Patterson,1999,6-9,238
George Patterson,1968,6-8,230
Lamar Patterson,2016,6-5,225
Patrick Patterson,2011,6-9,230
Ruben Patterson,1999,6-5,224
Steve Patterson,1972,6-9,225
Tom Patterson,1973,6-6,220
Worthy Patterson,1958,6-2,175
Justin Patton,2018,7-0,241
Brandon Paul,2018,6-4,200
Chris Paul,2006,6-0,175
Charlie Paulk,1969,6-8,219
Jerry Paulson,1958,6-2,185
Billy Paultz,1971,6-11,235
Sasha Pavlovic,2004,6-8,220
Jim Paxson,1957,6-6,200
Jim Paxson,1980,6-6,200
John Paxson,1984,6-2,185
Johnny Payak,1950,6-4,174
Adreian Payne,2015,6-10,237
Cameron Payne,2016,6-3,190
Kenny Payne,1990,6-8,195
Tom Payne,1972,7-2,240
Elfrid Payton,2015,6-4,185
Gary Payton,1991,6-4,180
Gary Payton,2017,6-3,190
Mel Payton,1952,6-4,185
George Pearcy,1947,6-1,165
Henry Pearcy,1947,6-1,170
Oleksiy Pecherov,2008,7-0,232
Wiley Peck,1980,6-7,220
Rich Peek,1968,6-11,230
Anthony Peeler,1993,6-4,208
George Peeples,1968,6-7,190
